	p_1_nl	p_1_fol	p_2_nl	p_2_fol	h_nl	h_fol	label	exception
1053	A man is pouring a plate of shredded cheese into a pot of sauce	all x.all y.all z. (Man(x) & Plate(y) & ShreddedCheese(y) & Pot(z) & Sauce(z) -> PouringInto(x, y, z))			A man is pouring a pot of cheese sauce into a shredded plate	all x. all y. all z. (Man(x) & Pot(y) & CheeseSauce(y) & ShreddedPlate(z) -> PoursInto(x, y, z))	n	[WinError 193] %1 is not a valid Win32 application
1054	The lady is adding cheese to the sauce	all x.all y. (Lady(x) & Sauce(y) -> AddsCheese(x, y))			The woman is removing cheese from the sauce	all x.all y. (Woman(x) & Cheese(y) -> RemovingFromSauce(x, y))	c	[WinError 193] %1 is not a valid Win32 application
1055	A man is pouring a plate of shredded cheese into a pot of sauce	all x.all y.all z. (Man(x) & Plate(y) & ShreddedCheese(y) & Pot(z) & Sauce(z) -> PouringInto(x, y, z))			The woman is adding cheese to the sauce	all x. (Woman(x) -> AddsCheeseToSauce(x))	n	[WinError 193] %1 is not a valid Win32 application
1056	A man is pouring a plate of shredded cheese into a pot of sauce	all x.all y.all z. (Man(x) & Plate(y) & ShreddedCheese(y) & Pot(z) & Sauce(z) -> PouringInto(x, y, z))			The woman is removing cheese from the sauce	all x.all y. (Woman(x) & Cheese(y) -> RemovingFromSauce(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1057	A person is burning some cameras with a blow torch	exists x. exists y. exists z. (Person(x) & Camera(y) & BlowTorch(z) & BurnsWith(x, y, z))			A person is repairing some cameras with a blow torch	all x. all y. (Person(x) & Camera(y) & BlowTorch(z) -> RepairsWith(x, y, z))	n	[WinError 193] %1 is not a valid Win32 application
1058	A person by some cameras is blowing on a burning torch	all x. all y. all z. (Person(x) & Camera(y) & Torch(z) & BlowingOn(x, z) -> Burning(z))			A person is burning some cameras with a blow torch	exists x. exists y. exists z. (Person(x) & Camera(y) & BlowTorch(z) & BurnsWith(x, y, z))	n	[WinError 193] %1 is not a valid Win32 application
1059	The tall person is setting fire to the cameras	all x. (TallPerson(x) -> SetsFireToCameras(x))			The person is setting fire to the cameras	all x. (Person(x) & SetsFireTo(x, cameras))	e	[WinError 193] %1 is not a valid Win32 application
1060	There is no person setting fire to the cameras	not exists x. (Person(x) & SetsFireToCameras(x))			A person is burning some cameras with a blow torch	exists x. exists y. exists z. (Person(x) & Camera(y) & BlowTorch(z) & BurnsWith(x, y, z))	c	[WinError 193] %1 is not a valid Win32 application
1061	The person is setting fire to the cameras	all x. (Person(x) & SetsFireTo(x, cameras))			A person is repairing some cameras with a blow torch	all x. all y. (Person(x) & Camera(y) & BlowTorch(z) -> RepairsWith(x, y, z))	n	[WinError 193] %1 is not a valid Win32 application
1062	A man is playing the guitar	exists x. (Man(x) & PlayingGuitar(x))			One man is playing the guitar	exists x. (Man(x) & PlayingGuitar(x))	e	[WinError 193] %1 is not a valid Win32 application
1063	A man is playing the guitar	exists x. (Man(x) & PlayingGuitar(x))			There is no man playing the guitar	not exists x. (Man(x) & PlaysGuitar(x))	c	[WinError 193] %1 is not a valid Win32 application
1064	The man is playing an acoustic guitar	exists x. (Man(x) & PlayingAcousticGuitar(x))			One man is playing the guitar	exists x. (Man(x) & PlayingGuitar(x))	e	[WinError 193] %1 is not a valid Win32 application
1065	The man is playing an acoustic guitar	exists x. (Man(x) & PlayingAcousticGuitar(x))			There is no man playing the guitar	not exists x. (Man(x) & PlaysGuitar(x))	c	[WinError 193] %1 is not a valid Win32 application
1066	A person is cutting an onion into pieces	exists x. (Person(x) & Cutting(x, Onion) & IntoPieces(x))			A person is dicing an onion	exists x. (Person(x) & DicingOnion(x))	e	[WinError 193] %1 is not a valid Win32 application
1067	A carrot is being sliced into pieces by a person	all x.all y. (Carrot(x) & Person(y) -> Slicing(y, x))			A person is cutting an onion into pieces	exists x. (Person(x) & Cutting(x, Onion) & IntoPieces(x))	n	[WinError 193] %1 is not a valid Win32 application
1068	A person is slicing a carrot into pieces	exists x. exists y. (Person(x) & Carrot(y) & Slicing(x, y))			A person is dicing an onion	exists x. (Person(x) & DicingOnion(x))	n	[WinError 193] %1 is not a valid Win32 application
1069	The man is slicing a potato	exists x. exists y. (Man(x) & Potato(y) & Slicing(x, y))			The person is carefully slicing a potato	all x. (Person(x) & Slicing(x, potato) -> Careful(x))	n	[WinError 193] %1 is not a valid Win32 application
1070	The man is cooking slices of potato	exists x. (Man(x) & Cooking(x, PotatoSlices))			The man is slicing a potato	exists x. exists y. (Man(x) & Potato(y) & Slicing(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1071	The man is slicing a potato	exists x. exists y. (Man(x) & Potato(y) & Slicing(x, y))			The person is slicing the potato	exists x. (Person(x) & Slicing(x, potato))	e	[WinError 193] %1 is not a valid Win32 application
1072	Somebody is cutting a tomato	exists x. (Cutting(x, Tomato))			Someone is cutting a tomato	exists x. (Person(x) & Cutting(x, tomato))	e	[WinError 193] %1 is not a valid Win32 application
1073	The woman is holding a whole tomato	exists x. (Woman(x) & exists y. (Tomato(y) & Whole(y) & Holds(x, y)))			The lady is slicing a tomato	exists x. exists y. (Lady(x) & Tomato(y) & Slicing(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1074	The woman is slicing a tomato	exists x. (Woman(x) & Slicing(x, tomato))			Someone is cutting a tomato	exists x. (Person(x) & Cutting(x, tomato))	e	[WinError 193] %1 is not a valid Win32 application
1075	A man is cleaning a dish	exists x. exists y. (Man(x) & Dish(y) & Cleaning(x, y))			A man is preparing some dish	exists x. (Man(x) & PreparingDish(x))	n	[WinError 193] %1 is not a valid Win32 application
1076	The woman is not slicing an onion with a knife	not exists x. (Woman(x) & SlicingOnion(x, Knife))			The woman is slicing an onion with a knife	exists x. exists y. exists z. (Woman(x) & Onion(y) & Knife(z) & Slicing(x, y, z))	c	[WinError 193] %1 is not a valid Win32 application
1077	A man is cleaning a dish	exists x. exists y. (Man(x) & Dish(y) & Cleaning(x, y))			The woman is slicing an onion with a knife	exists x. exists y. exists z. (Woman(x) & Onion(y) & Knife(z) & Slicing(x, y, z))	n	[WinError 193] %1 is not a valid Win32 application
1078	The woman is slicing an onion with a knife	exists x. exists y. exists z. (Woman(x) & Onion(y) & Knife(z) & Slicing(x, y, z))			A man is preparing some dish	exists x. (Man(x) & PreparingDish(x))	n	[WinError 193] %1 is not a valid Win32 application
1079	Some runners are competing in a race	exists x.exists y. (Runner(x) & Race(y) & CompetingIn(x, y))			Runners are competing in a race	all x.all y. (Runner(x) & Race(y) -> CompetingIn(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1080	Some runners are competing in a race	exists x.exists y. (Runner(x) & Race(y) & CompetingIn(x, y))			The runners are racing around a track	all x.all y. (Runner(x) & Track(y) -> RacesAround(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1081	The runners are racing around a track	all x.all y. (Runner(x) & Track(y) -> RacesAround(x, y))			Runners are not taking part in the race	all x. (Runner(x) -> not TakingPartInRace(x))	c	[WinError 193] %1 is not a valid Win32 application
1082	A man is racing	exists x. (Man(x) & Racing(x))			A man is running	exists x. (Man(x) & Running(x))	n	[WinError 193] %1 is not a valid Win32 application
1083	There is no man running down the road	not exists x. (Man(x) & Running(x) & DownRoad(x))			A man is running down the road	exists x. (Man(x) & Running(x))	c	[WinError 193] %1 is not a valid Win32 application
1084	A man is running	exists x. (Man(x) & Running(x))			There is no man running down the road	not exists x. (Man(x) & Running(x) & DownRoad(x))	n	[WinError 193] %1 is not a valid Win32 application
1085	A man is idling	exists x. (Man(x) & Idling(x))			A man is playing the keyboard with his nose	exists x. (Man(x) & PlayingKeyboard(x) & WithNose(x))	n	[WinError 193] %1 is not a valid Win32 application
1086	The man is funnily playing the piano with his nose	exists x. (Man(x) & PlayingPiano(x) & WithNose(x))			The man is playing the piano with his nose	all x.all y. (Man(x) & Piano(y) -> PlaysWithNose(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1087	The man is funnily playing the piano with his nose	exists x. (Man(x) & PlayingPiano(x) & WithNose(x))			A man is playing the keyboard with his nose	exists x. (Man(x) & PlayingKeyboard(x) & WithNose(x))	e	[WinError 193] %1 is not a valid Win32 application
1088	There is no man playing the piano with his nose	not exists x. (Man(x) & PlaysPiano(x) & WithNose(x))			A man is playing the keyboard with his nose	exists x. (Man(x) & PlayingKeyboard(x) & WithNose(x))	c	[WinError 193] %1 is not a valid Win32 application
1089	The man is playing the piano with his nose	all x.all y. (Man(x) & Piano(y) -> PlaysWithNose(x, y))			A man is playing the keyboard with his nose	exists x. (Man(x) & PlayingKeyboard(x) & WithNose(x))	e	[WinError 193] %1 is not a valid Win32 application
1090	A baby rhino is shunning an adult rhino	all x.all y. (BabyRhino(x) & AdultRhino(y) -> Shuns(x, y))			A baby rhino is following an adult rhino	all x.all y. (BabyRhino(x) & AdultRhino(y) -> Follows(x, y))	c	[WinError 193] %1 is not a valid Win32 application
1091	A baby rhino is walking around a pen with its mother	all x.all y.all z. (BabyRhino(x) & Pen(y) & Mother(z) & WalksAround(x, y) -> MotheredBy(x, z))			A baby rhino and its mother are standing in a pen	all x.all y.all z. (BabyRhino(x) & MotherRhino(y) & Pen(z) -> StandingIn(x, y, z))	n	[WinError 193] %1 is not a valid Win32 application
1092	A baby rhino is walking around a pen with its mother	all x.all y.all z. (BabyRhino(x) & Pen(y) & Mother(z) & WalksAround(x, y) -> MotheredBy(x, z))			A rhino, which is little, is following an adult rhino	all x. (Rhino(x) & Little(x) -> FollowsAdultRhino(x))	e	[WinError 193] %1 is not a valid Win32 application
1093	A baby rhino is shunning an adult rhino	all x.all y. (BabyRhino(x) & AdultRhino(y) -> Shuns(x, y))			A baby rhino is walking around a pen with its mother	all x.all y.all z. (BabyRhino(x) & Pen(y) & Mother(z) & WalksAround(x, y) -> MotheredBy(x, z))	n	[WinError 193] %1 is not a valid Win32 application
1094	A baby rhino is walking around a pen with its mother	all x.all y.all z. (BabyRhino(x) & Pen(y) & Mother(z) & WalksAround(x, y) -> MotheredBy(x, z))			A baby and an adult are being followed by a rhino	exists x. exists y. exists z. (Baby(x) & Adult(y) & Rhino(z) & Follows(z, x) & Follows(z, y))	n	[WinError 193] %1 is not a valid Win32 application
1095	A baby rhino is walking around a pen with its mother	all x.all y.all z. (BabyRhino(x) & Pen(y) & Mother(z) & WalksAround(x, y) -> MotheredBy(x, z))			A baby rhino is following an adult rhino	all x.all y. (BabyRhino(x) & AdultRhino(y) -> Follows(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1096	A man is riding a motorbike	exists x. exists y. (Man(x) & Motorbike(y) & Riding(x, y))			A man is riding a motorcycle	exists x. exists y. (Man(x) & Motorcycle(y) & Riding(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1097	A man is riding a motorcycle through the town	exists x. exists y. exists z. (Man(x) & Motorcycle(y) & Town(z) & Riding(x, y, z))			A man is riding a motorbike	exists x. exists y. (Man(x) & Motorbike(y) & Riding(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1098	A man is riding a motorcycle through the town	exists x. exists y. exists z. (Man(x) & Motorcycle(y) & Town(z) & Riding(x, y, z))			A man is getting off the motorcycle	exists x. (Man(x) & Motorcycle(y) & Riding(x, y) & not Riding(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1099	A man is riding a motorcycle through the town	exists x. exists y. exists z. (Man(x) & Motorcycle(y) & Town(z) & Riding(x, y, z))			A man is riding a motorcycle	exists x. exists y. (Man(x) & Motorcycle(y) & Riding(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1100	Some persons are singing	exists x. (Person(x) & Singing(x))			A group of people is singing	exists x. (Group(x) & People(x) & Singing(x))	e	[WinError 193] %1 is not a valid Win32 application
1101	Some people are singing	exists x. (Person(x) & Singing(x))			A few people are singing	exists x.exists y.exists z. (Person(x) & Person(y) & Person(z) & Singing(x) & Singing(y) & Singing(z))	e	[WinError 193] %1 is not a valid Win32 application
1102	One man is dancing	exists x. (Man(x) & Dancing(x))			A man is dancing	exists x. (Dancer(x) & Man(x))	e	[WinError 193] %1 is not a valid Win32 application
1103	A man is dancing	exists x. (Dancer(x) & Man(x))			A man is silent	exists x. (Man(x) & Silent(x))	n	[WinError 193] %1 is not a valid Win32 application
1104	A man is dancing	exists x. (Dancer(x) & Man(x))			A man is speaking	exists x. (Man(x) & Speaking(x))	n	[WinError 193] %1 is not a valid Win32 application
1105	A man is carefully climbing a rope	exists x. (Man(x) & ClimbingRope(x))			A man is climbing a rope	exists x. (Man(x) & ClimbingRope(x))	e	[WinError 193] %1 is not a valid Win32 application
1106	A man is untying a rope	exists x. (Man(x) & UntyingRope(x))			A man is climbing a rope	exists x. (Man(x) & ClimbingRope(x))	n	[WinError 193] %1 is not a valid Win32 application
1107	A man is being roped before a climb	exists x. exists y. (Man(x) & Climb(y) & BeingRoped(x, y))			A man is climbing a rope	exists x. (Man(x) & ClimbingRope(x))	n	[WinError 193] %1 is not a valid Win32 application
1108	There is no panda climbing	not exists x. (Panda(x) & Climbing(x))			A panda is climbing	exists x. (Panda(x) & Climbing(x))	c	[WinError 193] %1 is not a valid Win32 application
1109	One panda is climbing	exists x. (Panda(x) & Climbing(x))			A man is climbing a rope	exists x. (Man(x) & ClimbingRope(x))	n	[WinError 193] %1 is not a valid Win32 application
1110	A panda is climbing	exists x. (Panda(x) & Climbing(x))			A man is climbing a rope	exists x. (Man(x) & ClimbingRope(x))	n	[WinError 193] %1 is not a valid Win32 application
1111	A woman is dancing beautifully in a cage	exists x. (Woman(x) & Dancing(x) & InCage(x))			A woman is dancing in a cage	exists x. exists y. (Woman(x) & Cage(y) & DancingIn(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1112	A woman is being caged for the dance	exists x. (Woman(x) & Caged(x) & ForDance(x))			A woman is dancing in a cage	exists x. exists y. (Woman(x) & Cage(y) & DancingIn(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1113	The woman is dancing	exists x. (Dancer(x) & Woman(x))			The lady is dancing	exists x. (Lady(x) & Dancing(x))	e	[WinError 193] %1 is not a valid Win32 application
1114	The woman is dancing	exists x. (Dancer(x) & Woman(x))			The woman is not dancing	not Dancing(woman)	c	[WinError 193] %1 is not a valid Win32 application
1115	There is no woman dancing in a cage	not exists x. (Woman(x) & DancingInCage(x))			The woman is dancing	exists x. (Dancer(x) & Woman(x))	n	[WinError 193] %1 is not a valid Win32 application
1116	A woman is being caged for the dance	exists x. (Woman(x) & Caged(x) & ForDance(x))			The woman is dancing	exists x. (Dancer(x) & Woman(x))	n	[WinError 193] %1 is not a valid Win32 application
1117	Four people are floating on a raft	exists x. exists y. exists z. exists w. (Person(x) & Person(y) & Person(z) & Person(w) & FloatingOnRaft(x, y, z, w))			Nobody is floating on a raft	not exists x. (Raft(x) & FloatingOn(x))	c	[WinError 193] %1 is not a valid Win32 application
1118	People are riding and paddling a raft	all x.all y. (Person(x) & Raft(y) -> (Riding(x, y) & Paddling(x, y)))			People are paddling near a raft that is being ridden	all x.all y.all z. (Person(x) & Raft(y) & Near(x, y) & Ridden(y) -> Paddling(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1119	A cat is eating corn on the cob	exists x. (Cat(x) & Eating(x, corn) & OnCob(x))			There is no cat eating corn on the cob	not exists x. (Cat(x) & Eating(x, y) & CornOnTheCob(y))	c	[WinError 193] %1 is not a valid Win32 application
1120	A cat is eating some corn	exists x.exists y. (Cat(x) & Corn(y) & Eating(x, y))			The cat is eating some corn	exists x.exists y. (Cat(x) & Corn(y) & Eating(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1121	Someone is slicing a tomato	exists x. (Person(x) & Slicing(x, tomato))			Nobody is slicing a tomato	not exists x. (Slicing(x) & Tomato(x))	c	[WinError 193] %1 is not a valid Win32 application
1122	The person is quickly slicing a vegetable	all x. (Person(x) & SlicingVegetable(x) -> Quickly(x))			The person is slicing a vegetable	exists x. exists y. exists z. (Person(x) & Vegetable(y) & Slice(z) & Slices(x, y, z))	e	[WinError 193] %1 is not a valid Win32 application
1123	The person isn't slicing a vegetable	not exists x. (Person(x) & SlicingVegetable(x))			The person is slicing a vegetable	exists x. exists y. exists z. (Person(x) & Vegetable(y) & Slice(z) & Slices(x, y, z))	c	[WinError 193] %1 is not a valid Win32 application
1124	Someone is cutting a tomato	exists x. (Person(x) & Cutting(x, tomato))			The person is slicing a vegetable	exists x. exists y. exists z. (Person(x) & Vegetable(y) & Slice(z) & Slices(x, y, z))	e	[WinError 193] %1 is not a valid Win32 application
1125	Someone is slicing a tomato	exists x. (Person(x) & Slicing(x, tomato))			The person is slicing a vegetable	exists x. exists y. exists z. (Person(x) & Vegetable(y) & Slice(z) & Slices(x, y, z))	e	[WinError 193] %1 is not a valid Win32 application
1126	There is no little girl playing the piano	not exists x. (LittleGirl(x) & PlaysPiano(x))			A little girl is playing the piano	exists x. (LittleGirl(x) & PlayingPiano(x))	c	[WinError 193] %1 is not a valid Win32 application
1127	There is no little girl playing the piano	not exists x. (LittleGirl(x) & PlaysPiano(x))			A little girl is playing a grand piano on stage	exists x. exists y. exists z. (LittleGirl(x) & GrandPiano(y) & Stage(z) & PlayingOn(x, y, z))	c	[WinError 193] %1 is not a valid Win32 application
1128	A little girl is playing the piano	exists x. (LittleGirl(x) & PlayingPiano(x))			There is no little girl playing a grand piano on stage	not exists x. (LittleGirl(x) & PlayingGrandPiano(x) & OnStage(x))	n	[WinError 193] %1 is not a valid Win32 application
1129	A little girl is playing a grand piano on stage	exists x. exists y. exists z. (LittleGirl(x) & GrandPiano(y) & Stage(z) & PlayingOn(x, y, z))			A little girl is playing the piano	exists x. (LittleGirl(x) & PlayingPiano(x))	e	[WinError 193] %1 is not a valid Win32 application
1130	A man is playing the guitar	exists x. (Man(x) & PlayingGuitar(x))			A man is playing a guitar	exists x. (Man(x) & PlayingGuitar(x))	e	[WinError 193] %1 is not a valid Win32 application
1131	A man is playing the guitar	exists x. (Man(x) & PlayingGuitar(x))			Someone is playing the guitar	exists x. (GuitarPlayer(x))	e	[WinError 193] %1 is not a valid Win32 application
1132	The man is dancing	exists x. (Dancer(x) & Man(x))			Three women are standing still	exists x. exists y. exists z. (Woman(x) & Woman(y) & Woman(z) & StandingStill(x) & StandingStill(y) & StandingStill(z))	n	[WinError 193] %1 is not a valid Win32 application
1133	The man is dancing	exists x. (Dancer(x) & Man(x))			Three women are dancing	exists x. exists y. exists z. (Woman(x) & Woman(y) & Woman(z) & Dancing(x) & Dancing(y) & Dancing(z))	n	[WinError 193] %1 is not a valid Win32 application
1134	There is no man playing a bamboo flute	not exists x. (Man(x) & PlaysBambooFlute(x))			A man is playing a bamboo flute	exists x. (Man(x) & PlayingBambooFlute(x))	c	[WinError 193] %1 is not a valid Win32 application
1135	A man is playing a bamboo flute	exists x. (Man(x) & PlayingBambooFlute(x))			A flute is being played by the man	exists x. exists y. (Flute(x) & Man(y) & Playing(y, x))	e	[WinError 193] %1 is not a valid Win32 application
1136	A man is playing a bamboo flute	exists x. (Man(x) & PlayingBambooFlute(x))			The man is not playing a flute	not exists x. (Man(x) & PlaysFlute(x))	c	[WinError 193] %1 is not a valid Win32 application
1137	A man is playing a flute made of bamboo	exists x. exists y. (Man(x) & Flute(y) & MadeOfBamboo(y) & Playing(x, y))			The man is playing a flute	exists x. (Man(x) & Playing(x, flute))	e	[WinError 193] %1 is not a valid Win32 application
1138	A person is absently cutting mushrooms with a knife	exists x. (Person(x) & AbsentlyCuttingMushrooms(x))			A person is cutting mushrooms with a knife	exists x. (Person(x) & Cutting(x, mushrooms) & Using(x, knife))	e	[WinError 193] %1 is not a valid Win32 application
1139	A person is cutting mushrooms with a knife	exists x. (Person(x) & Cutting(x, mushrooms) & Using(x, knife))			A person is putting away the mushrooms	exists x. (Person(x) & PuttingAwayMushrooms(x))	n	[WinError 193] %1 is not a valid Win32 application
1140	A person is absently cutting mushrooms with a knife	exists x. (Person(x) & AbsentlyCuttingMushrooms(x))			A person is cutting some mushrooms	exists x. (Person(x) & Cutting(x, mushrooms))	e	[WinError 193] %1 is not a valid Win32 application
1141	A person is cutting some mushrooms	exists x. (Person(x) & Cutting(x, mushrooms))			A person is putting away the mushrooms	exists x. (Person(x) & PuttingAwayMushrooms(x))	n	[WinError 193] %1 is not a valid Win32 application
1142	A person is cutting mushrooms with a knife	exists x. (Person(x) & Cutting(x, mushrooms) & Using(x, knife))			A person is cutting some mushrooms	exists x. (Person(x) & Cutting(x, mushrooms))	e	[WinError 193] %1 is not a valid Win32 application
1143	A tiger is pacing around a cage	all x.all y. (Tiger(x) & Cage(y) -> PacingAround(x, y))			A tiger is walking around a cage	exists x. exists y. (Tiger(x) & Cage(y) & WalkingAround(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1144	A tiger is walking outside a cage	exists x. (Tiger(x) & WalkingOutsideCage(x))			A tiger is walking around a cage	exists x. exists y. (Tiger(x) & Cage(y) & WalkingAround(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1145	A tiger is walking around with no aim	all x. (Tiger(x) -> not exists y. (Aim(y) & WalkingAround(x, y)))			A tiger is walking around aimlessly	all x. (Tiger(x) -> WalksAimlessly(x))	e	[WinError 193] %1 is not a valid Win32 application
1146	A tiger is walking around aimlessly	all x. (Tiger(x) -> WalksAimlessly(x))			A tiger is sitting	exists x. (Tiger(x) & Sitting(x))	n	[WinError 193] %1 is not a valid Win32 application
1147	A tiger is walking around with no aim	all x. (Tiger(x) -> not exists y. (Aim(y) & WalkingAround(x, y)))			A tiger is walking around a cage	exists x. exists y. (Tiger(x) & Cage(y) & WalkingAround(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1148	A tiger is sitting	exists x. (Tiger(x) & Sitting(x))			A tiger is walking around a cage	exists x. exists y. (Tiger(x) & Cage(y) & WalkingAround(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1149	A tiger is walking around aimlessly	all x. (Tiger(x) -> WalksAimlessly(x))			A tiger is pacing around a cage	all x.all y. (Tiger(x) & Cage(y) -> PacingAround(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1150	A tiger is walking around aimlessly	all x. (Tiger(x) -> WalksAimlessly(x))			A tiger is walking around a cage	exists x. exists y. (Tiger(x) & Cage(y) & WalkingAround(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1151	A monkey is brushing the dog	exists x. exists y. (Monkey(x) & Dog(y) & Brushing(x, y))			The monkey is brushing the dog	exists x. exists y. (Monkey(x) & Dog(y) & Brushing(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1152	A monkey is brushing the dog	exists x. exists y. (Monkey(x) & Dog(y) & Brushing(x, y))			The monkey is not brushing a bull dog	not exists x. (Monkey(x) & BullDog(y) & Brushing(x, y))	c	[WinError 193] %1 is not a valid Win32 application
1153	The lady is dicing onions	exists x. (Lady(x) & DicingOnions(x))			The woman is dicing onions	exists x. (Woman(x) & DicingOnions(x))	e	[WinError 193] %1 is not a valid Win32 application
1154	The woman is dicing onions	exists x. (Woman(x) & DicingOnions(x))			A woman is swiftly cutting an onion	exists x. (Woman(x) & Cutting(x, Onion))	n	[WinError 193] %1 is not a valid Win32 application
1155	A man is wearing a hard hat and dancing	exists x. (Man(x) & WearingHardHat(x) & Dancing(x))			A man is wearing a hat which is hard and is dancing	exists x. (Man(x) & WearingHardHat(x) & Dancing(x))	e	[WinError 193] %1 is not a valid Win32 application
1156	A man is wearing a hard hat and dancing	exists x. (Man(x) & WearingHardHat(x) & Dancing(x))			A man is naked and standing still	exists x. (Man(x) & Naked(x) & StandingStill(x))	n	[WinError 193] %1 is not a valid Win32 application
1157	A man with a hard hat is dancing	all x. (Man(x) & WearsHardHat(x) -> Dancing(x))			The man with a hard hat is dancing	all x. (Man(x) & WearsHardHat(x) -> Dancing(x))	e	[WinError 193] %1 is not a valid Win32 application
1158	There is no man with a hard hat dancing	not exists x. (Man(x) & HardHat(x) & Dancing(x))			A man with a hard hat is dancing	all x. (Man(x) & WearsHardHat(x) -> Dancing(x))	c	[WinError 193] %1 is not a valid Win32 application
1159	The man with a hard hat is dancing	all x. (Man(x) & WearsHardHat(x) -> Dancing(x))			A man is wearing a hard hat and dancing	exists x. (Man(x) & WearingHardHat(x) & Dancing(x))	e	[WinError 193] %1 is not a valid Win32 application
1160	A man is wearing a hard hat and dancing	exists x. (Man(x) & WearingHardHat(x) & Dancing(x))			There is no man with a hard hat dancing	not exists x. (Man(x) & HardHat(x) & Dancing(x))	c	[WinError 193] %1 is not a valid Win32 application
1161	A man is naked and standing still	exists x. (Man(x) & Naked(x) & StandingStill(x))			A man with a hard hat is dancing	all x. (Man(x) & WearsHardHat(x) -> Dancing(x))	n	[WinError 193] %1 is not a valid Win32 application
1162	A man is wearing a hard hat and dancing	exists x. (Man(x) & WearingHardHat(x) & Dancing(x))			A man with a hard hat is dancing	all x. (Man(x) & WearsHardHat(x) -> Dancing(x))	e	[WinError 193] %1 is not a valid Win32 application
1163	Two boys are studying	exists x. exists y. (Boy(x) & Boy(y) & Studying(x) & Studying(y))			Two boys are playing a video game	exists x. exists y. (Boy(x) & Boy(y) & PlayingVideoGame(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1164	Two boys on a couch are reading a book	exists x. exists y. (Boy(x) & Boy(y) & Couch(c) & OnCouch(x, c) & OnCouch(y, c) & ReadingBook(x, y, c))			Two boys on a couch are playing video games	exists x. exists y. (Boy(x) & Boy(y) & Couch(c) & OnCouch(x, c) & OnCouch(y, c) -> PlayingVideoGames(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1165	Video games of two playing boys are on a couch	all x.all y.all z. (VideoGame(x) & Boy(y) & Couch(z) -> PlayingOn(x, y, z))			Two boys on a couch are playing video games	exists x. exists y. (Boy(x) & Boy(y) & Couch(c) & OnCouch(x, c) & OnCouch(y, c) -> PlayingVideoGames(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1166	Two boys on a couch are playing games on the TV	all x.all y.all z. (Boy(x) & Boy(y) & Couch(z) -> (On(x, z) & On(y, z) & PlayingGamesOn(x, y, z)))			Two boys are playing a video game	exists x. exists y. (Boy(x) & Boy(y) & PlayingVideoGame(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1167	Video games of two playing boys are on a couch	all x.all y.all z. (VideoGame(x) & Boy(y) & Couch(z) -> PlayingOn(x, y, z))			Two boys are playing a video game	exists x. exists y. (Boy(x) & Boy(y) & PlayingVideoGame(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1168	Two boys on a couch are playing video games	exists x. exists y. (Boy(x) & Boy(y) & Couch(c) & OnCouch(x, c) & OnCouch(y, c) -> PlayingVideoGames(x, y))			Two boys are playing a video game	exists x. exists y. (Boy(x) & Boy(y) & PlayingVideoGame(x, y))	e	[WinError 193] %1 is not a valid Win32 application
1169	The man is slicing vegetables	exists x. (Man(x) & SlicingVegetables(x))			A woman is cutting a potato	exists x. exists y. (Woman(x) & Potato(y) & Cutting(x, y))	n	[WinError 193] %1 is not a valid Win32 application
1170	The man is slicing vegetables	exists x. (Man(x) & SlicingVegetables(x))			There is no woman slicing a potato	not exists x. (Woman(x) & Slicing(x, potato))	n	[WinError 193] %1 is not a valid Win32 application
1171	The lady is cracking an egg for the mixer	exists x. exists y. (Lady(x) & Egg(y) & Cracks(x, y) & For(x, Mixer))			The lady isn't cracking an egg for the mixer	not exists x. (Lady(x) & CracksEgg(x) & ForMixer(x))	c	[WinError 193] %1 is not a valid Win32 application
1172	The lady is carefully slicing up the meat	all x.all y. (Lady(x) & Meat(y) -> CarefullySlicing(x, y))			The lady is slicing up the meat	exists x. exists y. (Lady(x) & Meat(y) & Slicing(x, y))	e	[WinError 193] %1 is not a valid Win32 application
